MasterGloss	originalform	originalgloss	Plomley_Headword	Plomley_note	recorder	recordid	speakercode	tribalregion	region
					ws	11655	mj		
						0			
	pootherikahni	don’t bother me, don’t interrupt me			ws	11669	mj	oyb	Oyster Bay
	tallawyna	run away, get away (imperative)			ws	11670	mj	oyb	Oyster Bay
	tooreela	bread			ws	11671	mj	oyb	Oyster Bay
	willilla	solomon seal			ws	11672	mj	oyb	Oyster Bay
	wybra	man			ws	11673	mj	oyb	Oyster Bay
	yah! yah!	exclamation of sorrow			ws	11674	mj	oyb	Oyster Bay
	lakri	tree-fern (relic in Furneaux Island “halfcastes”)			ws	11675			
	‘nina tu:‘napari	you understand			tn	11676	bg		
	lil tu:’napari	do you understand?			tn	11677	bg		
	‘balunta	go straight ahead			tn	11678	bg		
	ma:bir, ma:bier	go round			tn	11679	bg		
						12010			
						12020			
	boomah	kangaroo (English popular name)	boomah		ws	11952	by		
	boomer	kangaroo (English popular name)	boomah		ws	11953	by		
	canicoomb	? pigface	canicoomb		ws	11954	hu		
	kan-i-koom	wild pigface	canicoomb		ws	11955	hu		
	kani-com	pigface	canicoomb		ws	11956	bt		
	kani-cong	pigface	canicoomb		ws	11957	bt		
	com-ica	root shape of egg	com-ica		ws	11958	im		
	cruilla	berry, blue bell, vine	cruilla		ws	11959	st		
	gabla	good	gabla		ws	11960	gl		
	heponacookee	ring-tailed opossum (? personal name)	heponacookee		ws	11961	by		
	kangaroo	I don’t understand you	kangaroo		ws	11962	by		
	kokernut	head (English slang)	kokernut		ws	11963	bt		
	koola	? breakwind	koola		ws	11964	gl		
	kreena wunapoo	pleased	kreemata wunapoo		ws	11965	kn		
	lanapana	native yam	lanapana		ws	11966	by		
	lana-pana	sweet potato	lanapana		ws	11967	im		
	lonapona	root like sweet potato	lanapana		ws	11968	hu		
	lunna-bunna	kidney potato, blue flower	lanapana		ws	11969	st		
	lunnabinna	kidney potato	lanapana		ws	11970	ml		
	lerner-merner	kidney potato	lanapana		ws	11971	sj		
	lubra	woman (several records [with variants] Note: no other word for “woman” in this vocabulary [NSW] word)	lubra		ws	11972			
	mak-a-mo	smoke from pipe	mak-a-mo		ws	11973	im		
	mimi	shelter of boughs 	mimi	(NSW word)	ws	11974	bn		
	moorgrinni	dog’s house (kennel)	moorgrinni	combination of mu.ker.er (dog) and lin.ner (house)	ws	11975	md		
	paletha	down	paletha		ws	11976	md		
	panamlie	like leeks, in lagoons	panamlie		ws	11977	tp		
	para-nigli	? pleased	para-nigli		ws	11978	kn		
	picaninni	child, infant, babe 	picaninni	(NSW word)	ws	11979	hu		
	plataninni	opossum-mouse	plataninni		ws	11980	cl		
	pongralepra	reed, aquatic	pongralepra		ws	11981	cl		
	pongralepra	rush leaf, in lagoons	pongralepra		ws	11982	ar		
	pongroleepa	aquatic bulb (’potato’)	pongralepra		ws	11983	mn		
	pondaleepa	‘potato’ in lagoons	pongralepra		ws	11984	bt		
	plondoliva	‘potato’ in lagoons	pongralepra		ws	11985	bt		
	poona	yes	poona	SF said he did not know the word for ‘no’, but this is likely to be pude.yer (’no’) (NE-E)	ws	11986	sf		
	poohna	yes	poona	SF said he did not know the word for ‘no’, but this is likely to be pude.yer (’no’) (NE-E)	ws	11987	sf		
